2026-09-08T14:22:44.945Z INFO     load_entsoe 19 file(s) found, 0 already loaded.
2026-09-08T14:22:45.081Z INFO     load_entsoe day_ahead_2026-08-20.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:45.128Z INFO     load_entsoe day_ahead_2026-08-21.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:45.231Z INFO     load_entsoe day_ahead_2026-08-22.xml: 96 rows (7 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:45.270Z INFO     load_entsoe day_ahead_2026-08-23.xml: 96 rows (1 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:45.340Z INFO     load_entsoe day_ahead_2026-08-24.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:45.376Z INFO     load_entsoe day_ahead_2026-08-25.xml: 96 rows (3 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:45.497Z INFO     load_entsoe day_ahead_2026-08-26.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:45.691Z INFO     load_entsoe day_ahead_2026-08-27.xml: 96 rows (2 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:45.924Z INFO     load_entsoe day_ahead_2026-08-28.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:46.149Z INFO     load_entsoe day_ahead_2026-08-29.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:46.484Z INFO     load_entsoe day_ahead_2026-08-30.xml: 96 rows (2 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:46.594Z INFO     load_entsoe day_ahead_2026-08-31.xml: 96 rows (4 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:46.628Z INFO     load_entsoe day_ahead_2026-09-01.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:46.672Z INFO     load_entsoe day_ahead_2026-09-02.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:46.711Z INFO     load_entsoe day_ahead_2026-09-03.xml: 96 rows (1 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:46.750Z INFO     load_entsoe day_ahead_2026-09-04.xml: 96 rows (1 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:46.792Z INFO     load_entsoe day_ahead_2026-09-05.xml: 96 rows (3 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:46.830Z INFO     load_entsoe day_ahead_2026-09-06.xml: 96 rows (4 forward-filled) -> 96 new, 0 changed
2026-09-08T14:22:46.870Z INFO     load_entsoe day_ahead_2026-09-07.xml: 96 rows (1 forward-filled) -> 96 new, 0 changed
2026-09-09T15:20:29.370Z INFO     load_entsoe 21 file(s) found, 19 already loaded.
2026-09-09T15:20:30.284Z INFO     load_entsoe day_ahead_2026-09-08.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
2026-09-09T15:20:30.308Z INFO     load_entsoe day_ahead_2026-09-09.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
2026-09-16T05:01:39.953Z INFO     load_entsoe 26 file(s) found, 21 already loaded.
2026-09-16T05:01:40.019Z INFO     load_entsoe day_ahead_2026-09-10.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
2026-09-16T05:01:40.062Z INFO     load_entsoe day_ahead_2026-09-11.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
2026-09-16T05:01:40.104Z INFO     load_entsoe day_ahead_2026-09-12.xml: 96 rows (3 forward-filled) -> 96 new, 0 changed
2026-09-16T05:01:40.133Z INFO     load_entsoe day_ahead_2026-09-14.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
2026-09-16T05:01:40.160Z INFO     load_entsoe day_ahead_2026-09-15.xml: 96 rows (0 forward-filled) -> 96 new, 0 changed
