2026-08-23T11:12:32.017Z INFO     tailer Tailer started; olling evert 12s.
2026-08-23T11:12:33.329Z INFO     tailer 200 1312ms
2026-08-23T11:12:44.615Z INFO     tailer 200 594ms
2026-08-23T11:12:56.615Z INFO     tailer 200 578ms
2026-08-23T11:13:08.595Z INFO     tailer 200 578ms
2026-08-23T11:13:20.598Z INFO     tailer 200 562ms
2026-08-23T11:13:32.597Z INFO     tailer 200 562ms
2026-08-23T11:13:44.592Z INFO     tailer 200 578ms
2026-08-23T11:13:56.623Z INFO     tailer 200 594ms
2026-08-23T11:14:08.624Z INFO     tailer 200 578ms
2026-08-23T11:14:20.586Z INFO     tailer 200 562ms
2026-08-23T11:14:32.609Z INFO     tailer 200 562ms
2026-08-23T11:14:44.591Z INFO     tailer 200 562ms
2026-08-23T11:14:56.612Z INFO     tailer 200 578ms
2026-08-23T11:15:08.599Z INFO     tailer 200 562ms
2026-08-23T11:15:18.430Z INFO     tailer Shutdown signal 2 received; finishing cuurent cycle.
2026-08-23T12:14:05.557Z INFO     tailer Tailer started; polling every 12s.
2026-08-23T12:14:06.780Z INFO     tailer 200 1203ms
2026-08-23T12:14:18.195Z INFO     tailer 200 609ms
2026-08-23T12:14:30.216Z INFO     tailer 200 610ms
2026-08-23T12:14:42.159Z INFO     tailer 200 563ms
2026-08-23T12:14:54.160Z INFO     tailer 200 578ms
2026-08-23T12:15:06.198Z INFO     tailer 200 625ms
2026-08-23T12:15:18.173Z INFO     tailer 200 594ms
2026-08-23T12:15:30.211Z INFO     tailer 200 610ms
2026-08-23T12:15:42.154Z INFO     tailer 200 578ms
2026-08-23T12:15:54.187Z INFO     tailer 200 594ms
2026-08-23T12:16:06.195Z INFO     tailer 200 625ms
2026-08-23T12:16:18.147Z INFO     tailer 200 563ms
2026-08-23T12:16:30.145Z INFO     tailer 200 578ms
2026-08-23T12:16:42.199Z INFO     tailer 200 610ms
2026-08-23T12:16:54.163Z INFO     tailer 200 563ms
2026-08-23T12:17:06.163Z INFO     tailer 200 594ms
2026-08-23T12:17:18.131Z INFO     tailer 200 532ms
2026-08-23T12:17:30.162Z INFO     tailer 200 578ms
2026-08-23T12:17:42.155Z INFO     tailer 200 578ms
2026-08-23T12:17:54.180Z INFO     tailer 200 609ms
2026-08-23T12:18:06.158Z INFO     tailer 200 563ms
2026-08-23T12:18:18.180Z INFO     tailer 200 594ms
2026-08-23T12:18:30.137Z INFO     tailer 200 562ms
2026-08-23T12:18:42.178Z INFO     tailer 200 594ms
2026-08-23T12:18:54.165Z INFO     tailer 200 563ms
2026-08-23T12:19:06.170Z INFO     tailer 200 579ms
2026-08-23T12:19:18.155Z INFO     tailer 200 578ms
2026-08-23T12:19:30.172Z INFO     tailer 200 609ms
2026-08-23T12:19:42.210Z INFO     tailer 200 625ms
2026-08-23T12:19:54.188Z INFO     tailer 200 609ms
2026-08-23T12:20:06.136Z INFO     tailer 200 562ms
2026-08-23T12:20:18.126Z INFO     tailer 200 562ms
2026-08-23T12:20:30.195Z INFO     tailer 200 594ms
2026-08-23T12:20:42.150Z INFO     tailer 200 578ms
2026-08-23T12:20:54.151Z INFO     tailer 200 578ms
2026-08-23T12:21:06.172Z INFO     tailer 200 579ms
2026-08-23T12:21:18.154Z INFO     tailer 200 578ms
2026-08-23T12:21:30.161Z INFO     tailer 200 578ms
2026-08-23T12:21:42.151Z INFO     tailer 200 562ms
2026-08-23T12:21:54.166Z INFO     tailer 200 578ms
2026-08-23T12:22:06.155Z INFO     tailer 200 563ms
2026-08-23T12:22:18.162Z INFO     tailer 200 578ms
2026-08-23T12:22:30.143Z INFO     tailer 200 578ms
2026-08-23T12:22:42.158Z INFO     tailer 200 594ms
2026-08-23T12:22:54.159Z INFO     tailer 200 578ms
2026-08-23T12:23:06.141Z INFO     tailer 200 562ms
2026-08-23T12:23:18.135Z INFO     tailer 200 562ms
2026-08-23T12:23:30.168Z INFO     tailer 200 579ms
2026-08-23T12:23:42.198Z INFO     tailer 200 610ms
2026-08-23T12:23:54.170Z INFO     tailer 200 563ms
2026-08-23T12:24:06.151Z INFO     tailer 200 578ms
2026-08-23T12:24:18.147Z INFO     tailer 200 563ms
2026-08-23T12:24:30.168Z INFO     tailer 200 563ms
2026-08-23T12:24:42.182Z INFO     tailer 200 594ms
2026-08-23T12:24:54.139Z INFO     tailer 200 547ms
2026-08-23T12:25:06.166Z INFO     tailer 200 594ms
2026-08-23T12:25:18.152Z INFO     tailer 200 547ms
2026-08-23T12:25:30.161Z INFO     tailer 200 563ms
2026-08-23T12:25:42.150Z INFO     tailer 200 578ms
2026-08-23T12:25:54.203Z INFO     tailer 200 610ms
2026-08-23T12:26:06.138Z INFO     tailer 200 562ms
2026-08-23T12:26:18.175Z INFO     tailer 200 579ms
2026-08-23T12:26:30.164Z INFO     tailer 200 578ms
2026-08-23T12:26:42.165Z INFO     tailer 200 578ms
